source  ConsolidationCd               accountid            MappingFormula
BHC        Consolidated     383         (   +  BHCK4060  +  BHCKB488  +  BHCKB489 )
BHC        Consolidated     385         (   +  BHCK4069 )
BHC        Consolidated     388         (   +  BHCK4115 )
BHC        Consolidated     389         (   +  BHCK4065 )
BHC        Consolidated     391         (   +  BHCK4020  +  BHCK4518 )
BHC        Consolidated     392         (   +  BHCK4073 )
BHC        Consolidated     393         (   +  BHCK4172  +  BHCK6761  +  BHCKA518  +  BHCKA517 )
BHC        Consolidated     400         (   +  BHCK4180  +  BHCK4185  +  BHCK4397  +  BHCK4398 )
BHC        Consolidated     401         (   +  BHCK4074 )
BHC        Consolidated     403         (   +  BHCK4230 )
BHC        Consolidated     409         (   +  BHCKC886 )
BHC        Consolidated     413         (   +  BHCKC887 )
BHC        Consolidated     414         (   +  BHCKC888 )
BHC        Consolidated     420         (   +  BHCKA220 )
BHC        Consolidated     424         (   +  BHCK3196  +  BHCK3521 )
BHC        Consolidated     432         (   +  BHCKC387  +  BHCKC386 )
BHC        Consolidated     437         (   +  BHCKB492  +  BHCKB493 )
BHC        Consolidated     438         (   +  BHCK8560 )
BHC        Consolidated     439         (   +  BHCK4483 )
BHC        Consolidated     440         (   +  BHCK4070 )
BHC        Consolidated     446         (   +  BHCK8561 )
BHC        Consolidated     447         (   +  BHCKB491 )
BHC        Consolidated     450         (   +  BHCKB496  +  BHCKB497 )
BHC        Consolidated     453         (   +  BHCK4135 )
BHC        Consolidated     457         (   +  BHCK4217 )
BHC        Consolidated     464         (   +  BHCK4092 )
BHC        Consolidated     467         (   +  BHCKC232 )
BHC        Consolidated     476         (   +  BHCKC216 )
BHC        Consolidated     487         (   +  BHCK4302 )
BHC        Consolidated     493         (    +  BHCKFT28  )
BHC        Consolidated     494         (   -  BHCK4320 )
BHC        Consolidated     500         (    +  BHCKG104  )
BHC        Consolidated     505         (   +  BHCKG103 )
BHC        Consolidated     506         (   +  BHCK4598 )
BHC        Consolidated     729         (   +  BHDMA243  +  BHDMA164 )
BHC        Consolidated     730         (   +  BHOD6648  +  BHCB6648 )
BHC        Consolidated     731         (   +  BHCB2604  +  BHOD2604 )
BHC        Consolidated     737         (   +  BHCK2130 )
BHC        Consolidated     828         (   +  BHDM3516  +  BHFN3360 )
BHC        Consolidated     832         (   +  BHCKB558  +  BHCKB559  +  BHCKB560 )
BHC        Consolidated     834         (   +  BHCK3401 )
BHC        Consolidated     836         (   +  BHCK3368 )
BHC        Consolidated     849         (   +  BHCK3517  +  BHCK3404 )
BHC        Consolidated     862         (   +  BHCK3519 )
BHC        Consolidated     864         (   +  BHCK8274 )
BHC        Consolidated     865         (   +  BHCK8275 )
BHC        Consolidated     866         (   +  BHCK3792 )
BHC        Consolidated     867         (   +  BHCKA223 )
BHC        Consolidated     868         (   +  BHCKB700  +  BHCKB701  +  BHCKB702  +  BHCKB703  -  BHCKA222 )
BHC        Consolidated     869         (   +  BHCK1651 )
BHC        Consolidated     870         (   +  BHCK7206 )
BHC        Consolidated     871         (   +  BHCK7205 )
BHC        Consolidated     872         (   +  BHCK7204 )
BHC        Consolidated     904         (   +  BHCKB808  +  BHCKB809 )
BHC        Consolidated     927         (   +  BHCKB806  +  BHCKB807 )
BHC        Consolidated     932         (   +  BHCK3411 )
BHC        Consolidated     933         (   +  BHCK3814 )
BHC        Consolidated     934         (   +  BHCK3816  +  BHCK6550 )
BHC        Consolidated     935         (   +  BHCKJ455  +  BHCKJ456 )
BHC        Consolidated     936         (   +  BHCK3817  +  BHCKJ457  +  BHCKJ458  +  BHCKJ459 )
BHC        Consolidated     984         (   +  BHCKB705 )
BHC        Consolidated     985         (   +  BHCKB710 )
BHC        Consolidated     987         (   +  BHCKB708 )
BHC        Consolidated     988         (   +  BHCKB707 )
BHC        Consolidated     989         (   +  BHCKB706  +  BHCKB711  +  BHCKB709 )
BHC        Consolidated     992         (   +  BHCKB712 )
BHC        Consolidated     993         (   +  BHCKB717 )
BHC        Consolidated     995         (   +  BHCKB715 )
BHC        Consolidated     996         (   +  BHCKB714 )
BHC        Consolidated     997         (   +  BHCKB713  +  BHCKB718  +  BHCKB716 )
BHC        Consolidated     999         (   +  BHCKB541 )
BHC        Consolidated     1009       BHCK5526 +  ( BHCKK041 ) +  ( BHCKK044 ) - BHCK3507
BHC        Consolidated     1010       BHCK5525 +  ( BHCKK040 ) +  ( BHCKK043 ) - BHCK3506
BHC        Consolidated     1011       (   +  BHDMF576  +  BHDMK158  +  BHDMK159  +  BHDMK160  +  BHDMK161  +  BHDMK162  +  BHCKK163  +  BHCKK164  +  BHCKK165 )
BHC        Consolidated     1016       BHCK5524 +  ( BHCKK039 ) +  ( BHCKK042 ) - BHCK3505
BHC        Consolidated     1017       BHCK5526 +  ( BHCKK041 ) +  ( BHCKK044 ) - BHCK3507
BHC        Consolidated     1018       BHCK5525 +  ( BHCKK040 ) +  ( BHCKK043 ) - BHCK3506
BHC        Consolidated     1026       (   +  BHCK1608  +  BHCK1583  +  BHCK1597  +  BHCK1607  +  BHCKF170 )
BHC        Consolidated     1027       (   +  BHCK3495  +  BHCK3501  +  BHCK3494  +  BHCK3500  +  BHCKF176  +  BHCKF177  +  BHCKF181  +  BHCKF183  +  BHCKF174  +  BHCKF175 )
BHC        Consolidated     1028       (   +  BHCKB577  +  BHCKB576  +  BHCKF167  +  BHCKF168  +  BHCKK214  +  BHCKK217  +  BHCKK215  +  BHCKK218 )
BHC        Consolidated     1029       (   +  BHCKC229  +  BHCKC230  +  BHCK5400  +  BHCKC237  +  BHCKC239  +  BHCK5399  -  BHCKK041  -  BHCKK044  -  BHCKK040  -  BHCKK043 )
BHC        Consolidated     1030       (   +  BHCK5379  +  BHCK5382  +  BHCK5378  +  BHCK5381 )
BHC        Consolidated     1032       (   +  BHCKB574  +  BHCK5391  +  BHCK5461  +  BHCK5390  +  BHCK5460  +  BHCKB573  +  BHCKF171  +  BHCKF182  +  BHCKF180 )
BHC        Consolidated     1034       (   +  BHCK4635 )
BHC        Consolidated     1035       (   +  BHCK4645  +  BHCK4655  +  BHCK4646 )
BHC        Consolidated     1036       (   +  BHCK3584  +  BHCK3588  +  BHCKC891  +  BHCKC893  +  BHCKC897 )
BHC        Consolidated     1037       (   +  BHCK5411  +  BHCKC234  +  BHCKC235 )
BHC        Consolidated     1038       (   +  BHCKB514  +  BHCKK129  +  BHCKK205 )
BHC        Consolidated     1039       (   +  BHCKB512  +  BHCK4653  +  BHCK4654  +  BHCK4643  +  BHCK4644  +  BHCKC880  +  BHCKC895  +  BHCKF185 )
BHC        Consolidated     1040       (   +  BHCK4605 )
BHC        Consolidated     1041       (   +  BHCK4617  +  BHCK4618  +  BHCK4665 )
BHC        Consolidated     1042       (   +  BHCK3585  +  BHCK3589  +  BHCKC892  +  BHCKC894  +  BHCKC898 )
BHC        Consolidated     1043       (   +  BHCK5412  +  BHCKC217  +  BHCKC218 )
BHC        Consolidated     1044       (   +  BHCKB515  +  BHCKK133  +  BHCKK206 )
BHC        Consolidated     1045       (   +  BHCK4663  +  BHCK4664  +  BHCKB513  +  BHCK4627  +  BHCK4628  +  BHCKF187  +  BHCKF188  +  BHCKC896 )
BHC        Consolidated     1057       (   +  BHCK3164 )
BHC        Consolidated     1065       (   +  BHCK4150 )
BHC        Consolidated     1758       (   +  BHCK2123 )
BHC        Consolidated     2243       (   +  BHCM3541  +  BHCKF614  +  BHCKF615  +  BHCKF616  +  BHCKF618  +  BHCKF610  +  BHCKK199  +  BHCKK210 )
BHC        Consolidated     2274       (   +  BHCK3547 )
BHC        Consolidated     2275       (   +  BHCKF624  +  BHCKG210  +  BHCKG211  +  BHCKG209 )
BHC        Consolidated     2353       (   +  BHCKG378 )
BHC        Consolidated     2386       (   +  BHFN6631 )
BHC        Consolidated     2387       (   +  BHFN6636 )
BHC        Consolidated     2619       (   +  BHCK3507  +  BHCK3506 )
BHC        Consolidated     3440       (   +  BHCK5369 )
BHC        Consolidated     3463       (   +  BHCK2309  +  BHCK2332  +  BHCK3409 )
BHC        Consolidated     3466       (   +  BHCKG502 )
BHC        Consolidated     3467       (   +  BHCKG504 )
BHC        Consolidated     3468       (   +  BHCKG505 )
BHC        Consolidated     3469       (   +  BHCKG506 )
BHC        Consolidated     3473       (   -  BHCKG503 )
BHC        Consolidated     3474       (   +  BHCKG531 )
BHC        Consolidated     3475       (  +  BHCKG533 )
BHC        Consolidated     3476       (   +  BHCKG534 )
BHC        Consolidated     3477       (   +  BHCKG535 )
BHC        Consolidated     3481       (   -  BHCKG532 )
BHC        Consolidated     3492       (   +  BHCK3123 )
BHC        Consolidated     3836       (   +  BHCK2123 )
BHC        Consolidated     6181       (   +  BHCK3409 )
BHC        Consolidated     6212       (   -  BHCK3128 )
BHC        Consolidated     6226       (   +  BHCKG218 )
BHC        Consolidated     6227       (   +  BHCKG217 )
BHC        Consolidated     6228       (   +  BHCK5310  +  BHCK2221  +  BHCKB594 )
BHC        Consolidated     6232       BHCK5311 - BHCK8275
BHC        Consolidated     6233       (   +  BHCKB595 )
BHC        Consolidated     6234       (   +  BHCK1395 )
BHC        Consolidated     7484       (   +  BHCKJ321 )
BHC        Consolidated     7485       (   +  BHCKJ319 )
BHC        Consolidated     7486       (    +  BHCKJ320  )
BHC        Consolidated     7582       BHCAP841
BHC        Consolidated     7583       BHCAP842
BHC        Consolidated     7584       BHCAP843
BHC        Consolidated     7585       (   +  BHCAP849 )
BHC        Consolidated     7588       BHCAQ258
BHC        Consolidated     7600       BHCAP850
BHC        Consolidated     8241       (   -  BHCKA222  -  BHCK3128  +  BHCKB704  -  BHCKS581 )
BHC        Consolidated     8242       (   -  BHCKS581 )
BHC        Consolidated     8243       (   +  BHCAA223 )
BHC        Consolidated     8244       (   +  BHCAP844 )
BHC        Consolidated     8245       (   +  BHCAP845 )
BHC        Consolidated     8246       (   +  BHCAP846 )
BHC        Consolidated     8247       (   +  BHCAP847 )
BHC        Consolidated     8248       (   +  BHCAP848 )
BHC        Consolidated     9324       (   +  BHCKG381  +  BHCKK198  )
